date,year,doy,tree_type,site,plot,plottag,species,dbh,kgc,basal_area
1998-08-04,1998,216,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-08-04,1998,216,live,ems,D1,D1-529,rm,22.17,103.46,386.03
1998-08-04,1998,216,live,ems,D1,D1-544,ro,30.18,263.03,715.37
1998-08-04,1998,216,live,ems,D2,D2-288,hem,14.1,20.99,156.15
1998-08-04,1998,216,live,ems,D2,D2-583,rm,20.53,86.5,331.03
1998-08-04,1998,216,live,ems,E1,E1-677,hem,24.68,82.03,478.39
1998-08-04,1998,216,live,ems,E1,E1-678,hem,14.79,23.57,171.8
1998-08-04,1998,216,live,ems,E5,E5-876,hem,30.7,139.8,740.23
1998-08-04,1998,216,live,ems,E5,E5-880,ro,32.05,303.67,806.76
1998-08-04,1998,216,live,ems,E5,E5-889,hem,24.45,80.18,469.51
1998-08-04,1998,216,live,ems,E5,E5-892,rm,19.53,77,299.57
1998-08-04,1998,216,live,ems,E5,E5-893,hem,23.18,70.4,422
1998-08-04,1998,216,live,ems,E5,E5-895,rm,20.76,88.77,338.49
1998-08-04,1998,216,live,ems,E5,E5-903,ro,25.56,176.82,513.11
1998-08-04,1998,216,live,ems,E5,E5-905,hem,19.82,48.06,308.53
1998-08-04,1998,216,live,ems,F1,F1-933,rm,17.77,61.79,248.01
1998-08-04,1998,216,live,ems,G1,G1-153,rm,12.18,25.63,116.52
1998-08-04,1998,216,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-08-04,1998,216,live,ems,G1,G1-175,ro,26.37,190.51,546.15
1998-08-04,1998,216,live,ems,G1,G1-176,rm,14.39,37.79,162.63
